,mainVariableName,sub0,sub1,sub2
438,1,5,8,2
439,1,6,2,3
440,1,5,8,10
441,1,0,9,9
442,1,5,2,10
443,1,5,5,10
444,1,3,7,7
445,1,0,5,8
446,1,1,3,2
447,1,5,5,9
448,1,9,7,8
449,1,6,7,0
450,1,7,8,3
451,1,1,2,2
452,1,3,3,7
453,1,5,2,10
454,1,8,4,1
455,1,7,6,9
456,2,9,3,4
457,2,1,3,6
458,2,9,8,0
459,1,5,2,9
460,1,3,9,9
461,1,3,2,4
462,1,7,6,8
463,1,7,2,9
464,1,3,8,6
465,0,8,7,9
466,0,2,7,9
467,0,2,2,1
468,0,9,5,4
469,0,2,6,0
470,0,9,8,8
471,1,7,5,10
472,1,5,8,8
473,1,9,2,8
474,0,2,8,8
475,0,2,0,8
476,0,1,9,8
477,1,7,2,8
478,1,2,2,10
479,1,7,1,8
480,2,2,3,8
481,2,9,8,5
482,2,5,5,8
483,3,6,7,5
484,3,3,6,7
485,3,1,0,7
486,2,1,4,0
487,2,7,8,7
488,2,1,5,5
489,2,2,2,10
490,2,7,10,9
491,2,0,3,9
492,0,1,9,4
493,0,1,6,2
494,0,9,9,4
495,2,1,2,10
496,2,3,0,6
497,2,9,6,8
498,0,8,9,3
499,0,3,5,4
500,0,1,7,2
501,0,8,5,5
502,0,6,9,4
503,0,8,7,4
504,4,0,4,4
505,4,1,0,2
506,4,2,4,4
507,0,6,6,5
508,0,6,4,4
509,0,6,5,3
510,5,0,0,1
511,5,1,1,1
512,5,0,0,1
513,1,4,6,8
514,1,1,5,5
515,1,7,6,8
516,0,3,3,3
517,0,1,0,8
518,0,1,9,7
519,5,1,1,0
520,5,0,1,0
521,5,1,0,0
522,1,2,7,1
523,1,7,6,5
524,1,2,1,8
525,2,2,2,8
526,2,1,8,1
527,2,7,0,9
528,3,8,8,1
529,3,3,4,8
530,3,6,3,6
531,1,3,5,8
532,1,0,1,7
533,1,7,8,8
534,2,9,4,6
535,2,1,5,3
536,2,9,5,2
537,2,0,5,6
538,2,5,4,6
539,2,3,8,2
540,1,5,1,5
541,1,5,9,0
542,1,0,6,7
543,1,0,0,9
544,1,3,6,10
545,1,5,4,8
546,1,5,8,0
547,1,2,1,6
548,1,7,0,8
549,1,9,8,1
550,1,0,8,8
551,1,1,7,9
552,0,3,9,0
553,0,3,5,0
554,0,6,1,4
555,3,8,8,7
556,3,9,9,8
557,3,7,4,3
558,2,5,6,0
559,2,8,4,2
560,2,3,0,8
561,2,3,4,8
562,2,5,3,0
563,2,9,9,3
564,0,6,5,4
565,0,5,6,9
566,0,8,8,7
567,1,6,1,9
568,1,1,0,0
569,1,7,0,9
570,5,2,2,2
571,5,2,1,2
572,5,2,2,2
573,0,9,0,7
574,0,2,8,4
575,0,8,8,1
576,1,2,3,0
577,1,5,3,1
578,1,5,0,10
579,1,4,0,8
580,1,7,3,3
581,1,1,5,1
582,0,8,6,4
583,0,6,6,0
584,0,2,2,8
585,3,9,2,3
586,3,8,0,8
587,3,8,2,8
588,2,8,6,2
589,2,7,7,3
590,2,5,4,8
591,3,9,9,5
592,3,8,8,7
593,3,9,5,8
594,0,1,2,3
595,0,8,6,4
596,0,3,8,9
597,2,0,7,2
598,2,5,9,6
599,2,7,0,1
600,3,5,2,5
601,3,9,2,0
602,3,0,5,8
603,2,2,9,6
604,2,8,9,1
605,2,2,3,2
606,3,7,5,3
607,3,4,4,0
608,3,3,7,5
609,2,2,0,9
610,2,3,6,3
611,2,8,2,10
612,1,9,7,1
613,1,6,6,6
614,1,4,7,7
615,2,2,4,1
616,2,2,6,8
617,2,8,5,7
618,3,7,0,3
619,3,0,2,3
620,3,4,5,5
621,1,0,3,9
622,1,1,1,0
623,1,2,5,5
624,3,5,5,3
625,3,6,5,7
626,3,6,3,4
627,3,3,5,0
628,3,0,9,2
629,3,0,5,3
630,3,2,5,8
631,3,0,2,2
632,3,8,9,2
633,2,9,10,5
634,2,3,1,5
635,2,3,4,1
636,3,5,5,5
637,3,0,1,3
638,3,2,1,2
639,5,3,1,2
640,5,1,0,3
641,5,3,3,3
642,2,0,2,2
643,2,5,1,2
644,2,0,2,4
645,2,5,6,2
646,2,8,2,4
647,2,0,2,4
648,2,3,6,0
649,2,8,2,2
650,2,2,6,4
651,0,5,6,2
652,0,3,8,7
653,0,5,7,3
654,5,0,3,4
655,5,4,3,3
656,5,3,2,0
657,0,2,6,3
658,0,3,6,4
659,0,7,3,1
660,0,6,6,1
661,0,8,7,7
662,0,3,6,4
663,0,1,7,2
664,0,1,9,0
665,0,5,1,4
666,2,5,2,5
667,2,8,2,5
668,2,3,8,6
669,0,1,5,0
670,0,0,9,0
671,0,4,7,2
672,0,0,3,3
673,0,8,7,8
674,0,5,7,3
675,3,2,4,6
676,3,4,0,2
677,3,1,4,5
678,4,2,5,5
679,4,5,5,1
680,4,5,3,4
681,3,8,5,3
682,3,1,5,2
683,3,7,8,2
684,5,2,1,1
685,5,0,4,0
686,5,3,1,4
687,3,0,2,7
688,3,3,3,5
689,3,8,4,4
690,5,4,4,4
691,5,4,4,5
692,5,5,5,3
693,3,9,9,5
694,3,1,0,8
695,3,8,2,7
696,1,3,1,5
697,1,0,7,6
698,1,0,7,1
699,3,0,5,3
700,3,8,6,0
701,3,9,9,3
702,5,5,5,0
703,5,6,5,5
704,5,6,6,5
705,1,0,3,6
706,1,10,3,2
707,1,0,0,3
708,3,8,7,0
709,3,8,4,0
710,3,4,2,5
711,5,5,6,5
712,5,0,0,4
713,5,7,7,3
714,1,6,3,1
715,1,1,5,8
716,1,10,5,1
717,5,7,7,5
718,5,3,5,4
719,5,7,2,6
720,1,10,5,2
721,1,7,1,10
722,1,7,5,6
723,3,0,2,2
724,3,0,2,0
725,3,8,2,5
726,3,6,2,2
727,3,8,6,8
728,3,9,0,9
729,1,8,8,6
730,1,5,1,7
731,1,5,3,2
732,1,7,8,2
733,1,2,1,0
734,1,5,7,2
735,1,3,7,1
736,1,0,9,1
737,1,1,7,3
738,3,2,9,4
739,3,0,9,9
740,3,6,4,0
741,3,1,5,0
742,3,8,10,2
743,3,2,3,8
744,3,8,2,2
745,3,6,10,0
746,3,7,10,2
747,3,8,1,8
748,3,7,9,2
749,3,7,9,3
750,3,7,6,6
751,3,8,9,2
