,mainVariableName,sub0,sub1,sub2
426,0,8,8,8
427,0,8,8,8
428,0,9,8,8
429,0,8,8,8
430,0,8,8,8
431,0,7,8,8
432,0,7,8,8
433,0,7,8,8
434,0,8,8,8
435,0,8,8,8
436,0,8,8,8
437,0,8,9,8
438,0,8,9,8
439,0,8,9,8
440,0,9,9,8
441,0,8,9,8
442,0,8,9,8
443,0,8,9,8
444,0,9,9,8
445,0,9,9,8
446,0,9,9,8
447,0,8,9,8
448,0,8,9,8
449,0,8,8,8
450,0,8,8,7
451,0,8,8,7
452,0,8,8,7
453,0,8,8,8
454,0,8,8,8
455,0,8,8,8
456,0,8,9,8
457,0,8,9,8
458,0,8,9,8
459,0,8,9,9
460,0,8,9,9
461,0,8,8,9
462,0,8,8,8
463,0,8,8,8
464,0,8,8,8
465,0,9,8,8
466,0,9,8,8
467,0,9,8,8
468,0,9,9,8
469,0,9,8,8
470,0,9,8,8
471,0,9,8,8
472,0,9,9,8
473,0,9,9,8
474,0,9,9,8
475,0,9,9,9
476,0,9,9,9
477,0,9,9,8
478,0,9,9,8
479,0,9,9,8
480,0,8,9,8
481,0,8,8,8
482,0,8,8,8
483,0,8,8,8
484,0,8,8,9
485,0,8,8,9
486,0,8,8,9
487,0,8,9,9
488,0,8,8,9
489,0,8,8,8
490,0,7,8,8
491,0,7,8,8
492,0,7,8,8
493,0,8,8,8
494,0,8,8,8
495,0,8,8,8
496,0,9,8,8
497,0,8,8,8
498,0,8,8,8
499,0,8,8,7
500,0,8,8,7
501,0,8,7,7
502,0,8,7,7
503,0,8,7,7
504,0,7,7,7
505,0,6,7,7
506,0,6,7,7
507,0,6,7,7
508,0,7,7,7
509,0,7,7,7
510,0,7,7,6
511,0,7,7,6
512,0,7,7,6
513,0,7,7,7
514,0,7,7,7
515,0,7,7,7
516,0,7,7,8
517,0,7,7,7
518,0,7,7,7
519,0,7,7,7
520,0,8,7,7
521,0,7,7,7
522,0,7,7,7
523,0,7,7,6
524,0,7,7,6
525,0,7,7,6
526,0,7,7,7
527,0,7,7,7
528,0,7,7,7
529,0,7,8,7
530,0,7,8,7
531,0,7,8,7
532,0,8,8,7
533,0,7,8,7
534,0,7,8,7
535,0,7,7,7
536,0,7,7,7
537,0,7,7,7
538,0,8,7,7
539,0,8,7,7
540,0,8,7,7
541,0,8,8,7
542,0,8,7,7
543,0,8,7,7
544,0,8,7,7
545,0,8,7,8
546,0,8,7,8
547,0,7,7,8
548,0,7,7,8
549,0,7,7,8
550,0,7,7,7
551,0,7,7,7
552,0,7,7,7
553,0,8,7,7
554,0,8,7,7
555,0,8,7,7
556,0,8,8,7
557,0,8,8,7
558,0,8,8,7
559,0,8,8,8
560,0,8,8,8
561,0,8,8,8
562,0,8,8,9
563,0,8,8,9
564,0,8,8,9
565,0,8,9,9
566,0,8,9,9
567,0,8,9,9
568,0,9,9,9
569,0,9,9,9
570,0,9,9,9
571,0,9,9,10
572,0,9,9,10
573,0,9,9,10
574,0,10,9,10
575,0,9,9,10
576,0,9,9,10
577,0,9,9,9
578,0,9,8,9
579,0,9,8,9
580,0,9,8,9
581,0,9,9,9
582,0,8,9,9
583,0,8,9,9
584,0,8,9,9
585,0,9,9,9
586,0,9,9,9
587,0,9,8,9
588,0,9,8,9
589,0,8,8,9
590,0,8,8,9
591,0,8,8,9
592,0,9,8,9
593,0,9,8,9
594,0,9,8,9
595,0,9,9,9
596,0,9,9,9
597,0,9,9,9
598,0,9,9,10
599,0,9,9,10
600,0,9,9,9
601,0,8,9,9
602,0,8,9,9
603,0,8,9,9
604,0,9,9,9
605,0,9,9,9
606,0,9,9,9
607,0,10,9,9
608,0,9,9,9
609,0,9,9,9
610,0,9,9,9
611,0,10,9,9
612,0,10,9,9
613,0,10,9,9
